accel_x,accel_y,accel_z
-0.051855582626168885,0.8466645527366737,0.8684186845694576
0.1820191883088818,0.8675239600595893,0.8536532413921605
0.2561798958778463,0.9508670630123985,0.7114803107149974
0.33173303802676535,1.007078013323846,0.587694308781219
0.5168072022641736,0.9141193348912924,0.30502734396931214
0.6769321077689702,0.8716987963073587,0.14687471419083437
0.6048539082774274,0.9784220272963762,-0.18738742012597465
0.7377240506945701,0.9904684683510547,-0.2697531064642915
0.911765274185104,0.9689967822203317,-0.577523384007561
0.9004822796674369,1.0052841539309165,-0.6032526954412021
0.948646617222425,0.9948720068019856,-0.7582479543435288
1.0444572472010845,0.9398762179566436,-0.9022133197425296
1.0809020192695948,0.9961336343816265,-0.9394208236895065
0.9944269761614378,0.9114819716072585,-0.9333054276293431
1.0736931609493232,0.8330295989092553,-0.9497651088801631
0.9161454828513442,0.7981782076055787,-0.8568667291725489
0.8771440469860358,0.7628136314636946,-0.8739931970338749
0.9140396753782792,0.7461317096171401,-0.7085899370386626
0.7306061701691152,0.6841626990631046,-0.5019508229301817
0.7238389682579989,0.5883755790664446,-0.29331838134458516
0.5681155920297141,0.5926673678783717,-0.049531069748578446
0.45334696278071807,0.4568240379101606,0.04611102286345711
0.43630247456393306,0.44580577152976053,0.2998590132570747
0.23085154121750753,0.2754825621964275,0.5845090400809109
0.06850340746498938,0.2776492039041512,0.6934950105824125
0.01780785886439801,0.11071061932592513,0.8647773869059336
-0.12999977314532063,0.1306270665326706,0.9205784190044294
-0.14644612567332288,-0.017171483542499814,0.9125738249772198
-0.49424059230916373,-0.1279715591961692,0.9819125565878659
-0.5518963357002946,-0.2002395020441251,0.9522423283140304
-0.5621988739500837,-0.1547374815651625,0.9948660878110003
-0.6027569703628537,-0.3359786633664449,0.748615756199163
-0.7642251741378345,-0.38705797136979486,0.6482342496873763
-0.8747042219897745,-0.4030638428696643,0.5603515607759866
-0.9620853284111227,-0.48193603713621047,0.31683151349724764
-0.9088916440670636,-0.6464522318832049,0.17667408613872493
-1.0181858711153584,-0.5609102465397631,-0.17935751707304565
-0.9500021704862118,-0.6810113110019042,-0.4457340530926973
-1.0866873966107338,-0.7509427500117609,-0.576483155375989
-1.0525211196852144,-0.8183538110077012,-0.6253447542310915
-0.9149350981522982,-0.8168551033169417,-0.7934048365556159
-0.9286093217846034,-0.8911027663287524,-0.9097409691041775
-0.8296773669081825,-1.0102544233270305,-0.9341626139451977
-0.7735727853505707,-1.060120265783945,-1.0135971584137784
-0.7356360185184468,-0.8534059355408755,-0.9411689191037719
-0.7013767273518314,-0.8986852554978831,-1.0012498273417576
-0.4577009957869421,-0.9932361458567761,-0.7827750683010246
-0.39777038789204067,-0.9772877278675715,-0.655116733309603
-0.25249525038133874,-1.0058598826397367,-0.39732829437041495
-0.10740016426434565,-0.9467458099074434,-0.2511441203677069
-0.05620990839361376,-0.9641148974891698,-0.17759064976026417
0.13969540595165603,-0.994340149426076,0.21714070091076215
0.3463437588405815,-0.895183486941302,0.2159289738986171
0.3173504602997449,-0.8934816702424024,0.5232678977089998
0.45753508065291015,-0.8532459974051846,0.7183076541981054
0.6145354930135848,-0.7552360752232321,0.7810987472175427
0.6919154476129186,-0.7768174378547164,0.9945201829507896
0.753247823744656,-0.7165544092215572,0.9662985491203222
0.8507926746929262,-0.7031835877602265,1.0132403500251108
0.8710846832438055,-0.5625326779436074,0.9952663672054963
0.9331162398843903,-0.5568188789195679,0.941704937656441
0.9770937959683667,-0.5164836481985592,0.8125690752230232
0.9128960023614133,-0.4808090469946342,0.6344912485286043
0.9186983930870954,-0.3351637773852165,0.5510533974362367
0.9915948370300011,-0.20818506010990373,0.2642678824708923
0.9422890414435063,-0.17348376053613557,0.06702646297807835
0.8943034783841721,-0.18211323716763655,-0.16312949698636164
0.7919603345429119,-0.02786315869424524,-0.30861341545221455
0.6969046052971041,0.08486627000939201,-0.5221657972752739
0.6765752898082065,0.02433888757741212,-0.6368001166355262
0.5768565210443454,0.1462484764016297,-0.7341003006657316
0.4212584850591989,0.260449628373803,-0.9867276706919705
0.42695554106982847,0.413289742818901,-0.9929921075922779
0.20694793287224938,0.46608104196753825,-1.0519642373854514
0.1501091731936887,0.5169846587328781,-0.9667549426370184
-0.0028266463017802427,0.5499708831966569,-0.8045363813765697
-0.0823086934185111,0.6742135271693903,-0.9310228335844922
-0.2593357788648206,0.691916805776268,-0.658689638976823
-0.347288532893818,0.7983094422845106,-0.4630236143394031
-0.5163573697081516,0.8415275451641762,-0.2809503496955426
-0.514612690446135,0.8528665655563293,-0.012963371867242432
-0.6456272607001236,0.8681849582043077,0.14353733622349035
-0.8073708845493464,0.9121711275360761,0.34100184741092626
-0.8209320201747426,0.9245477407323124,0.7087042267814117
-0.8218829603299482,0.9172011688900348,0.6620211867738185
-1.0314003952852002,1.059758218248207,0.7242457347836266
-1.0150906514977216,0.898441847012669,0.9905274948475244
-0.9435017805019998,0.9523896102255998,0.9181634628770378
-1.0942645944669618,1.014114039070113,1.0164072196596894
-1.055726880436375,1.0263474980762872,0.9244512558423981
-1.0221803297671446,0.9527991788995515,0.9933143870708855
-0.8668319503475087,0.9134293844093971,0.8229076488827328
-0.8411642117269932,1.0389625758278476,0.7142884744278084
-0.7604236522264229,0.8560386851055598,0.49415610660122994
-0.7224227668950542,0.8312231018154288,0.2950625048247336
-0.4782588858533739,0.8902696148329902,0.021904571060275754
-0.48135463761969255,0.7752403340359936,-0.09065479789646459
-0.3538406181917697,0.7269227010388207,-0.2994828149528386
-0.27409115973834347,0.6864102870909413,-0.5300698998561448
-0.06906561776957496,0.5953916885612448,-0.6021199623972306
-0.08596475298073492,0.4678478186845272,-0.8247528327511293
0.13984642968996153,0.48239619454922866,-0.8828691189224419
0.31088158643855607,0.46968584372147465,-1.0396881739902848
0.314231663711411,0.3090479069464283,-1.0010809648190397
0.48189205331115137,0.25794325659769,-1.063310443912485
0.5610116446052583,0.10580242742276665,-0.9458831243614166
0.5986783438049321,0.12170515354333744,-0.8392732996198292
0.7951498378585018,0.012315139487692466,-0.6586467834348642
0.79293482785482,-0.06585001795635714,-0.4447880071358456
0.8446151963471206,-0.15634189643381952,-0.36319717403675866
0.9689059524564904,-0.18686847901989956,0.011655722846760433
0.9755711933482483,-0.2614030974893384,0.08194878122534566
0.9689930972935032,-0.3127610211613048,0.3343512690214791
0.9879376924103611,-0.44783362690972656,0.5178372922702711
0.9945564292645154,-0.529793697629691,0.6173230277288783
0.9230667596385166,-0.5779358526648071,0.7797286367606244
